resid,leaflet,X coords,Y coords,Z coords,Thickness
8498,lower leaflet,20.337,5.636,1.958,4.497
8499,lower leaflet,3.721,52.617,2.250,4.275
8500,lower leaflet,33.174,26.742,1.767,3.978
8501,lower leaflet,28.077,45.434,2.106,4.088
8502,lower leaflet,47.893,18.079,2.063,4.105
8503,lower leaflet,8.492,27.375,2.020,4.300
8504,lower leaflet,54.449,31.105,2.540,3.801
8505,lower leaflet,37.499,42.867,1.711,4.009
8506,lower leaflet,36.312,39.835,1.865,3.748
8507,lower leaflet,37.273,50.224,2.353,4.224
8508,lower leaflet,22.560,41.456,2.020,3.825
8509,lower leaflet,43.146,15.561,1.936,4.313
8510,lower leaflet,50.209,51.090,2.340,4.000
8511,lower leaflet,41.930,34.131,2.159,3.673
8512,lower leaflet,29.525,4.985,1.846,4.244
8513,lower leaflet,51.267,21.965,2.602,4.131
8514,lower leaflet,26.864,10.801,1.478,4.375
8515,lower leaflet,2.083,15.124,1.865,4.267
8516,lower leaflet,20.251,30.104,2.345,3.710
8517,lower leaflet,30.876,43.021,2.564,4.130
8518,lower leaflet,21.194,39.393,2.140,3.752
8519,lower leaflet,7.693,46.740,2.128,4.173
8520,lower leaflet,4.624,39.696,2.322,3.738
8521,lower leaflet,40.417,16.818,1.960,4.312
8522,lower leaflet,46.149,25.519,2.196,3.753
8523,lower leaflet,3.850,27.820,2.309,3.956
8524,lower leaflet,32.763,54.494,2.050,4.262
8525,lower leaflet,52.290,33.114,2.766,3.644
8526,lower leaflet,20.701,48.589,1.763,4.076
8527,lower leaflet,8.898,14.360,1.650,4.442
8528,lower leaflet,27.187,7.196,2.030,4.400
8529,lower leaflet,48.369,2.334,1.677,4.231
8530,lower leaflet,35.559,21.989,1.871,4.217
8531,lower leaflet,15.612,32.623,2.203,3.723
8532,lower leaflet,15.801,21.606,2.175,4.115
